Y_count=48,N_count=7,sum=55,æ‹’Ê¬ =0.127273
num=1,score=116
num=2,score=61
num=3,score=37
num=4,score=41
num=5,score=38
num=6,score=45
num=7,score=39
num=8,score=29
num=9,score=86
num=10,score=58
num=11,score=106
num=12,score=109
num=13,score=106
num=14,score=110
num=15,score=110
num=16,score=111
num=17,score=106
num=18,score=111
num=19,score=109
num=20,score=101
num=21,score=101
num=22,score=103
num=23,score=103
num=24,score=104
num=25,score=108
num=26,score=112
num=27,score=105
num=28,score=109
num=29,score=102
num=30,score=107
num=31,score=111
num=32,score=104
num=33,score=108
num=34,score=111
num=35,score=113
num=36,score=108
num=37,score=104
num=38,score=108
num=39,score=110
num=40,score=109
num=41,score=102
num=42,score=109
num=43,score=103
num=44,score=102
num=45,score=111
num=46,score=103
num=47,score=102
num=48,score=102
num=49,score=104
num=50,score=106
num=51,score=109
num=52,score=103
num=53,score=106
num=54,score=110
num=55,score=110
