score=0,认假率=1.000000,拒真率=0.000000,识别率=0.500000
score=1,认假率=0.986842,拒真率=0.023723,识别率=0.494717
score=2,认假率=0.986755,拒真率=0.023723,识别率=0.494761
score=3,认假率=0.980220,拒真率=0.023723,识别率=0.498028
score=4,认假率=0.929418,拒真率=0.023988,识别率=0.523297
score=5,认假率=0.801586,拒真率=0.024517,识别率=0.586948
score=6,认假率=0.626873,拒真率=0.026898,识别率=0.673114
score=7,认假率=0.470373,拒真率=0.028662,识别率=0.750482
score=8,认假率=0.335396,拒真率=0.031837,识别率=0.816384
score=9,认假率=0.236842,拒真率=0.034571,识别率=0.864293
score=10,认假率=0.168090,拒真率=0.036952,识别率=0.897479
score=11,认假率=0.118072,拒真率=0.038981,识别率=0.921473
score=12,认假率=0.082694,拒真率=0.041714,识别率=0.937796
score=13,认假率=0.059428,拒真率=0.044184,识别率=0.948194
score=14,认假率=0.042959,拒真率=0.046389,识别率=0.955326
score=15,认假率=0.032241,拒真率=0.049299,识别率=0.959230
score=16,认假率=0.023179,拒真率=0.051768,识别率=0.962526
score=17,认假率=0.017515,拒真率=0.054326,识别率=0.964080
score=18,认假率=0.013245,拒真率=0.057060,识别率=0.964848
score=19,认假率=0.009585,拒真率=0.059000,识别率=0.965707
score=20,认假率=0.007581,拒真率=0.061646,识别率=0.965387
score=21,认假率=0.005925,拒真率=0.063321,识别率=0.965377
score=22,认假率=0.004705,拒真率=0.065085,识别率=0.965105
score=23,认假率=0.003398,拒真率=0.067731,识别率=0.964435
score=24,认假率=0.002788,拒真率=0.071082,识别率=0.963065
score=25,认假率=0.002353,拒真率=0.072405,识别率=0.962621
score=26,认假率=0.001917,拒真率=0.074169,识别率=0.961957
score=27,认假率=0.001568,拒真率=0.076374,识别率=0.961029
score=28,认假率=0.001394,拒真率=0.077961,识别率=0.960322
score=29,认假率=0.001046,拒真率=0.080078,识别率=0.959438
score=30,认假率=0.000871,拒真率=0.082106,识别率=0.958511
score=31,认假率=0.000610,拒真率=0.084134,识别率=0.957628
score=32,认假率=0.000523,拒真率=0.086957,识别率=0.956260
score=33,认假率=0.000523,拒真率=0.088897,识别率=0.955290
score=34,认假率=0.000436,拒真率=0.091454,识别率=0.954055
score=35,认假率=0.000349,拒真率=0.093130,识别率=0.953261
score=36,认假率=0.000261,拒真率=0.096040,识别率=0.951849
score=37,认假率=0.000261,拒真率=0.097980,识别率=0.950879
score=38,认假率=0.000174,拒真率=0.100009,识别率=0.949908
score=39,认假率=0.000174,拒真率=0.101684,识别率=0.949071
score=40,认假率=0.000174,拒真率=0.103536,识别率=0.948145
score=41,认假率=0.000174,拒真率=0.106094,识别率=0.946866
score=42,认假率=0.000174,拒真率=0.107240,识别率=0.946293
score=43,认假率=0.000174,拒真率=0.109710,识别率=0.945058
score=44,认假率=0.000174,拒真率=0.112091,识别率=0.943867
score=45,认假率=0.000087,拒真率=0.113943,识别率=0.942985
score=46,认假率=0.000087,拒真率=0.115090,识别率=0.942412
score=47,认假率=0.000087,拒真率=0.117294,识别率=0.941309
score=48,认假率=0.000087,拒真率=0.119411,识别率=0.940251
score=49,认假率=0.000087,拒真率=0.121527,识别率=0.939193
